,Depth,time,DTCO,Vp,Vs,RHOB,Ip,PHIT,Vp_bk,Vs_bk,rhob_bk,Ip_ups_Bks,Vp_MA,Vs_MA,RHOB_MA,Ip_ups MA,PHIT_MA,Rc,Rc_bks,Rc_MA
34,3222.7,3264,101.867,2992.13710295,1357.94561901905,2.3367,7010.497300882,0.22235,3029.87745689449,1485.49743769609,2.25672521097047,6839.78617530315,3026.77780531704,1499.0216119365,2.25672521097047,6839.54374524557,0.229747538677918,0.000532657083521,4.54786098041445E-05,4.49510217900744E-05
35,3228.8,3268,99.0387,3077.5848229026,1454.6176474519,2.2783,7002.1247616453,0.2209,3078.44992831155,1495.68515093457,2.24562869198312,6913.05548584979,3082.79711137931,1511.61407330294,2.24562869198312,6924.7451616286,0.229119198312236,-0.001929650808627,8.37406059617218E-05,9.06723826766916E-05
36,3235,3272,98.9742,3079.5904902277,1610.0315497487,2.1874,6760.8521186818,0.2352,3174.73044975407,1569.55240335443,2.21676230661041,7037.62272402831,3180.43022241159,1589.72836780743,2.21676230661041,7052.46669931583,0.231879746835443,-0.000438804390634,0.000107299134916,0.000102430147929
37,3239,3276,88.5754,3441.13602734105,1779.0427971811,2.1703,7431.5217083431,0.2374,3226.43880294951,1631.86849052823,2.19104166666667,7064.22081702392,3233.99587964343,1643.55232648256,2.19104166666667,7087.416531247,0.234139240506329,0.000790578572385,8.17964244091074E-05,7.49596287251881E-05
38,3244.7,3280,92.1231,3308.6164056572,1733.7144319782,2.1453,7032.48200016,0.2443,3269.71245832421,1682.73635459502,2.17552215189873,7113.33188342359,3278.23618781046,1688.91611162664,2.17552215189873,7144.22712743511,0.23642194092827,0.000181530175856,7.61996448414905E-05,7.33053691002677E-05
39,3251.3,3284,93.5752,3257.2733221461,1702.911267724,2.2342,7274.6902982147,0.2298,3312.17540492138,1693.5194307729,2.17317914908579,7198.17245503538,3316.72624841798,1699.13355409324,2.17317914908579,7222.87275172741,0.236949718706048,-0.002268018771395,1.85188751015691E-06,-6.49140693685345E-07
40,3258,3288,92.60015,3291.5732852028,1666.13497422325,2.16995,7130.118669673,0.23755,3308.96657624455,1673.99778371112,2.18858597046413,7240.7819489166,3312.51628324682,1678.09529173662,2.18858597046413,7261.71622089585,0.233998241912799,0.000197840593257,6.38593376702685E-05,6.30355257991242E-05
41,3264.6,3292,92.8946,3281.1379778803,1614.8156153942,2.1998,7139.62238003,0.2329,3301.27184483378,1663.55925085049,2.19818424753868,7257.10392225416,3302.06508511265,1665.04821023797,2.19818424753868,7272.11618492808,0.229952180028129,-6.11563018920744E-05,4.88897240452204E-05,4.7539775335823E-05
42,3271.2,3296,91.8362,3318.9526903213,1671.0996072101,2.2225,7425.83033452385,0.2205,3285.42495009887,1648.30591204818,2.20314381153305,7232.76852707259,3282.27627995799,1649.29174084666,2.20314381153305,7236.5210321733,0.229664029535865,-0.000527812327393,-4.7395684247691E-05,-4.2538230313441E-05
43,3277.8,3300,92.7354,3286.7707477404,1671.7629475243,2.2079,7304.3310064665,0.2221,3298.22329451894,1649.62031016183,2.20420745428973,7270.63916463725,3301.57184249047,1660.48040974701,2.20420745428973,7291.31346179353,0.23056258790436,0.00103283976719,0.000151786559751,0.000142664008845
