,DEPTH,DTCO,Vp,Vs,RHOB,Ip,PHIT,well,Vp_bk,Vs_bk,rhob_bk,Ip_ups_Bks,Vp_MA,Vs_MA,RHOB_MA,Ip_ups_MA,PHIT_MA,Rc,Rc_bks,Rc_MA,TWT
62,3041.2,111.4039,2735.990392,1225.653803,2.2694,6209.056595,0.2346,Lakach-1,2752.894497,1305.661376,2.181349156,6005.024088,2752.770549,1328.218665,2.181349156,6012.027123,0.248424051,-0.002171589,5.23E-05,5.29E-05,3132.111961
63,3041.3,111.8888,2724.133247,1225.40299,2.2694,6182.14799,0.2359,Lakach-1,2752.099786,1305.790329,2.182207103,6005.651701,2752.011047,1328.30652,2.182207103,6012.663701,0.248229958,0.001885015,5.04E-05,5.12E-05,3132.185379
64,3041.4,112.1898,2716.824524,1229.642617,2.2841,6205.498896,0.234,Lakach-1,2751.320733,1305.882878,2.183045007,6006.256988,2751.264918,1328.360319,2.183045007,6013.27956,0.248025668,0.001656283,4.63E-05,4.74E-05,3132.258994
65,3041.5,112.3426,2713.129303,1234.835987,2.2948,6226.089124,0.2336,Lakach-1,2750.566699,1305.93568,2.18384564,6006.813092,2750.540619,1328.378192,2.18384564,6013.849506,0.247821378,-0.000642806,4.43E-05,4.55E-05,3132.33271
66,3041.6,112.4283,2711.061183,1240.211666,2.2936,6218.089929,0.2345,Lakach-1,2749.847939,1305.942312,2.184610056,6007.34546,2749.847288,1328.355969,2.184610056,6014.396688,0.247625176,-0.003769753,4.51E-05,4.61E-05,3132.406482
67,3041.7,112.4593,2710.313865,1244.654682,2.277,6171.38467,0.237,Lakach-1,2749.181877,1305.899111,2.185336498,6007.887496,2749.200614,1328.29223,2.185336498,6014.951584,0.247447257,-0.005542158,5.07E-05,5.13E-05,3132.480274
68,3041.8,112.4543,2710.434372,1246.222083,2.2518,6103.356119,0.2396,Lakach-1,2748.574821,1305.802471,2.186040788,6008.496668,2748.606576,1328.185383,2.186040788,6015.568172,0.247284459,-0.004721897,6.56E-05,6.53E-05,3132.554063
69,3041.9,112.4324,2710.96232,1245.463843,2.2302,6045.988167,0.2411,Lakach-1,2748.033815,1305.650407,2.186758087,6009.285169,2748.072139,1328.034402,2.186758087,6016.354246,0.247124473,-0.001838227,8.80E-05,8.70E-05,3132.627837
70,3042,112.4063,2711.591788,1239.47685,2.2215,6023.801157,0.2402,Lakach-1,2747.568036,1305.445338,2.187513713,6010.342757,2747.607577,1327.841539,2.187513713,6017.400883,0.246952883,0.001678087,0.000117576,0.000116394,3132.701595
71,3042.1,112.4079,2711.553192,1230.655433,2.229,6044.052064,0.2376,Lakach-1,2747.175623,1305.191332,2.188340717,6011.756273,2747.214521,1327.609677,2.188340717,6018.801822,0.2467609,0.003405771,0.00014511,0.000144634,3132.775353
72,3042.2,112.4312,2710.991255,1220.299734,2.2447,6085.36207,0.2357,Lakach-1,2746.85374,1304.899177,2.189232419,6013.501257,2746.89348,1327.347593,2.189232419,6020.543126,0.246548523,0.002686866,0.000166956,0.000167682,3132.849127
73,3042.3,112.5012,2709.304434,1210.865853,2.2582,6118.151273,0.2364,Lakach-1,2746.590621,1304.575838,2.190173347,6015.509575,2746.634667,1327.061191,2.190173347,6022.562542,0.246323136,0.000882984,0.000177596,0.000179354,3132.922946
74,3042.4,112.6359,2706.064408,1204.670231,2.2649,6128.965277,0.2374,Lakach-1,2746.378986,1304.230306,2.191120253,6017.646619,2746.429375,1326.758479,2.191120253,6024.723276,0.246098805,-0.00404818,0.000170567,0.000172353,3132.996855
75,3042.5,113.2006,2692.565234,1201.046897,2.2579,6079.543041,0.2361,Lakach-1,2746.209003,1303.873255,2.192003516,6019.69979,2746.262952,1326.449534,2.192003516,6026.800394,0.245887834,-0.005751741,0.000147026,0.000147826,3133.071133
76,3042.6,113.6076,2682.9191,1201.577662,2.2401,6010.007077,0.2378,Lakach-1,2746.058138,1303.507901,2.192768636,6021.470157,2746.109151,1326.139197,2.192768636,6028.582495,0.245694796,-0.006738235,0.000112342,0.000112109,3133.145679
77,3042.7,114.0387,2672.776873,1202.926331,2.2185,5929.555493,0.2406,Lakach-1,2745.915656,1303.13924,2.193375176,6022.823235,2745.957601,1325.833812,2.193375176,6029.934361,0.245514065,-0.005881393,7.96E-05,7.90E-05,3133.220507
78,3042.8,114.2854,2667.007334,1205.023144,2.1973,5860.215216,0.2463,Lakach-1,2745.766926,1302.771232,2.193843179,6023.782041,2745.79758,1325.536297,2.193843179,6030.887229,0.245336498,-0.002287705,5.71E-05,5.66E-05,3133.295498
79,3042.9,114.5169,2661.615884,1204.78356,2.1917,5833.463532,0.2509,Lakach-1,2745.601033,1302.408546,2.19422609,6024.46942,2745.620896,1325.247389,2.19422609,6031.570411,0.245156118,0.0014239,5.10E-05,5.07E-05,3133.37064
80,3043,114.7331,2656.600406,1201.707939,2.2021,5850.099753,0.2531,Lakach-1,2745.416455,1302.057511,2.194597398,6025.083808,2745.426012,1324.966956,2.194597398,6032.182259,0.244972925,0.003344623,6.01E-05,5.97E-05,3133.445924
81,3043.1,115.1016,2648.095248,1195.558547,2.224,5889.363832,0.2512,Lakach-1,2745.216944,1301.718409,2.195020745,6025.808142,2745.215718,1324.691374,2.195020745,6032.90262,0.244790788,0.003790484,7.71E-05,7.65E-05,3133.52145
82,3043.2,115.4599,2639.877568,1189.473627,2.2479,5934.180785,0.2456,Lakach-1,2745.009271,1301.388241,2.195525316,6026.737349,2744.996893,1324.417252,2.195525316,6033.825758,0.244607947,0.000720966,9.51E-05,9.44E-05,3133.597211
83,3043.3,115.8013,2632.094804,1187.288071,2.2578,5942.743648,0.2412,Lakach-1,2744.795565,1301.05571,2.196113924,6027.883759,2744.77254,1324.137013,2.196113924,6034.965655,0.244419128,-0.001824365,0.000108608,0.000108014,3133.673196
84,3043.4,115.89,2630.080249,1190.258159,2.2513,5921.099663,0.2408,Lakach-1,2744.576696,1300.713991,2.196766174,6029.193249,2744.543993,1323.847155,2.196766174,6036.269512,0.244218003,-0.005146475,0.00011902,0.000118522,3133.74924
85,3043.5,115.8824,2630.252739,1196.619315,2.2281,5860.466128,0.2456,Lakach-1,2744.352441,1300.362336,2.197468706,6030.628607,2744.311134,1323.547908,2.197468706,6037.70054,0.243992616,-0.005870253,0.000124209,0.000123769,3133.825278
86,3043.6,115.7617,2632.995196,1200.41731,2.1998,5792.062833,0.2522,Lakach-1,2744.12492,1300.010879,2.198196906,6032.126909,2744.075566,1323.247534,2.198196906,6039.195281,0.243752461,-0.003784979,0.000128935,0.000128606,3133.901237
87,3043.7,115.4271,2640.627721,1199.35688,2.1769,5748.382486,0.2588,Lakach-1,2743.903914,1299.678738,2.198940928,6033.682619,2743.846908,1322.960012,2.198940928,6040.748836,0.243503165,-0.000458493,0.000140396,0.000140591,3133.976977
88,3043.8,115.0235,2649.893283,1192.976468,2.1673,5743.113712,0.2637,Lakach-1,2743.72332,1299.380045,2.199703235,6035.377062,2743.660018,1322.695665,2.199703235,6042.44762,0.243250703,0.003202151,0.000154074,0.000155272,3134.052452
89,3043.9,114.5476,2660.902542,1186.815138,2.1722,5780.012501,0.2642,Lakach-1,2743.608916,1299.138596,2.200472925,6037.237138,2743.542116,1322.47314,2.200472925,6044.32436,0.243,0.005720904,0.000178419,0.000182161,3134.127614
90,3044,114.0942,2671.476727,1182.777089,2.1885,5846.526817,0.2593,Lakach-1,2743.606523,1298.970873,2.201260197,6039.391835,2743.545212,1322.306402,2.201260197,6046.526841,0.242741913,0.00560105,0.000207736,0.000215559,3134.202479
91,3044.1,113.679,2681.234001,1184.091682,2.2051,5912.389096,0.2502,Lakach-1,2743.712783,1298.88954,2.202089662,6041.901557,2743.672947,1322.208018,2.202089662,6049.134167,0.242470816,0.003306156,0.000239793,0.000253431,3134.277071
92,3044.2,113.3395,2689.265437,1187.735925,2.2131,5951.613339,0.2417,Lakach-1,2743.923097,1298.921148,2.202977145,6044.799869,2743.928096,1322.205618,2.202977145,6052.201024,0.242183896,0.001326238,0.000272654,0.000293489,3134.351441
93,3044.3,113.1925,2692.757912,1194.079902,2.2161,5967.42081,0.2359,Lakach-1,2744.218778,1299.066512,2.20394128,6048.097046,2744.297406,1322.308695,2.20394128,6055.754574,0.241886428,-0.001797253,0.000302459,0.000331992,3134.425715
94,3044.4,113.1285,2694.281282,1200.078903,2.2069,5946.009361,0.2361,Lakach-1,2744.617348,1299.325927,2.204954641,6051.75676,2744.805196,1322.526998,2.204954641,6059.776839,0.241579466,-0.002317614,0.000321857,0.000359753,3134.499946
95,3044.5,113.1494,2693.783617,1205.192768,2.1971,5918.511985,0.2375,Lakach-1,2745.140989,1299.704107,2.205953586,6055.653611,2745.475245,1322.873202,2.205953586,6064.138454,0.241275668,-0.000282877,0.000327558,0.000370641,3134.574191
96,3044.6,113.064,2695.818298,1207.698842,2.1942,5915.164509,0.2383,Lakach-1,2745.783221,1300.208358,2.206882911,6059.622069,2746.292235,1323.362815,2.206882911,6068.635355,0.24098488,0.001123903,0.000322698,0.000367158,3134.64838
97,3044.7,112.8924,2699.916026,1209.361601,2.1958,5928.47561,0.2367,Lakach-1,2746.520995,1300.845442,2.207714487,6063.534188,2747.220458,1324.013429,2.207714487,6073.093283,0.240714135,0.004640238,0.000318426,0.000363141,3134.722456
98,3044.8,112.5423,2708.315007,1211.500189,2.2094,5983.751176,0.2335,Lakach-1,2747.319425,1301.599909,2.208478903,6067.396989,2748.218455,1324.818681,2.208478903,6077.505659,0.240449367,0.006713485,0.000321894,0.000368224,3134.796303
99,3044.9,111.9208,2723.354372,1217.200869,2.2269,6064.637851,0.2302,Lakach-1,2748.149724,1302.446596,2.209233474,6071.304361,2749.258201,1325.75852,2.209233474,6081.983078,0.240172996,0.006778949,0.000332068,0.000381928,3134.869742
100,3045,111.1375,2742.548645,1228.758265,2.2415,6147.422787,0.2295,Lakach-1,2749.004165,1303.358633,2.210014065,6075.337869,2750.33719,1326.80344,2.210014065,6086.630611,0.239873418,0.006726158,0.000339965,0.000392728,3134.942667
101,3045.1,110.1563,2766.977467,1244.899201,2.2518,6230.679861,0.2309,Lakach-1,2749.882968,1304.307958,2.210810478,6079.470081,2751.453725,1327.909212,2.210810478,6091.413267,0.239561885,0.005782661,0.000339499,0.000392196,3135.014948
102,3045.2,109.2378,2790.242938,1270.033338,2.259,6303.158797,0.233,Lakach-1,2750.781714,1305.290866,2.211589311,6083.599436,2752.592922,1329.065078,2.211589311,6096.1932,0.239250703,0.005345685,0.000330569,0.000380263,3135.086626
103,3045.3,108.3823,2812.267317,1299.341292,2.2654,6370.910379,0.2346,Lakach-1,2751.697986,1306.304003,2.212315049,6087.622866,2753.742412,1330.259358,2.212315049,6100.83128,0.238953938,0.00545926,0.000317285,0.000362311,3135.157743
104,3045.4,107.7401,2829.030231,1331.705693,2.2767,6440.853127,0.2331,Lakach-1,2752.621325,1307.344217,2.212976793,6091.487112,2754.884673,1331.48475,2.212976793,6105.253675,0.238672996,0.005174305,0.000309614,0.000351642,3135.228439
105,3045.5,107.3662,2838.882255,1361.743496,2.2924,6507.853682,0.2315,Lakach-1,2753.543652,1308.404048,2.213605837,6095.260299,2756.015651,1332.733655,2.213605837,6109.548909,0.238404712,0.002473065,0.000310044,0.000351542,3135.298889
106,3045.6,107.2093,2843.036938,1388.091288,2.3004,6540.122172,0.2303,Lakach-1,2754.463195,1309.473035,2.214239451,6099.041075,2757.141108,1333.99393,2.214239451,6113.845947,0.238138889,-0.00035662,0.000315475,0.000358157,3135.369236
